Datetime,Acreage,TotalFloor,TotalBedroom,TotalBathroom,HouseUtilities,HouseMinusPoint,RoomMultipurpose,OuterUtilities,HouseType,City,District,Price,million/m2,Longitude,Latitude
2023,22.82073505936532,1,1.0,2.0,0,0,0,3,Bán Nhà riêng,Đồng Nai,Biên Hòa,2.5,109.54949494381135,106.8226134,10.9509538
2023,70.0,3,3.0,3.0,1,0,0,8,Bán Nhà mặt phố,TP Hồ Chí Minh,Bình Tân,8.2,117.14285714285714,106.65227606400094,10.8030656
2023,100.0,2,3.0,2.0,5,0,1,6,Bán Nhà riêng,Đồng Nai,Biên Hòa,0.95,9.5,106.8226134,10.9509538
2023,30.0,1,1.0,2.0,4,0,1,7,Bán Nhà riêng,Hà Nội,Long Biên,3.2,106.66666666666669,105.8921527,21.0257066
2023,62.0,1,2.0,1.0,2,0,0,4,Bán Nhà riêng,TP Hồ Chí Minh,Quận 7,8.75,141.1290322580645,106.72971280655217,10.737754800000001
2023,71.0,2,3.0,2.0,4,0,0,7,Bán Nhà riêng,TP Hồ Chí Minh,Tân Bình,6.0,84.50704225352112,106.66523106900442,10.797672200000001
2023,90.0,2,3.0,2.0,3,0,1,3,Bán Nhà riêng,Đồng Nai,Biên Hòa,2.95,32.77777777777778,106.8226134,10.9509538
2023,30.0,5,3.0,4.0,4,0,2,2,Bán Nhà riêng,Hà Nội,Hà Đông,4.1,136.66666666666666,105.7749566,20.9702189
2023,63.0,1,3.0,3.0,9,0,0,4,Bán Nhà riêng,Thừa Thiên Huế,Huế,1.95,30.952380952380956,107.5863388,16.4639321
2023,50.0,4,4.0,5.0,0,1,1,3,Bán Nhà mặt phố,Hà Nội,Đống Đa,12.9,258.0,105.77366865,21.075303599999998
2023,198.0,2,3.0,4.0,0,0,0,4,Bán Nhà mặt phố,TP Hồ Chí Minh,Tân Bình,26.5,133.83838383838383,106.66523106900442,10.797672200000001
2023,50.0,2,4.0,3.0,2,0,3,9,Bán Nhà riêng,TP Hồ Chí Minh,Quận 7,7.5,150.0,106.72971280655217,10.737754800000001
2023,65.0,1,6.0,7.0,0,0,0,7,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 7,12.0,184.6153846153846,106.72971280655217,10.737754800000001
2023,90.0,4,4.0,4.0,3,0,3,3,Bán Nhà riêng,TP Hồ Chí Minh,Quận 7,15.2,168.88888888888889,106.72971280655217,10.737754800000001
2023,45.0,3,3.0,3.0,1,0,0,1,Bán Nhà riêng,Long An,Đức Hòa,0.68,15.11111111111111,106.43380220306233,10.882814799999998
2023,65.0,4,4.0,5.0,0,0,1,7,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 7,12.0,184.6153846153846,106.72971280655217,10.737754800000001
2023,75.0,1,4.0,3.0,0,0,1,3,Bán Nhà riêng,TP Hồ Chí Minh,Quận 7,6.4,85.33333333333333,106.72971280655217,10.737754800000001
2023,195.0,1,2.0,2.0,3,0,0,2,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 7,46.8,240.0,106.72971280655217,10.737754800000001
2023,1700.0,1,2.0,1.0,0,0,0,3,Bán Nhà riêng,Đà Nẵng,Cẩm Lệ,7.5,4.411764705882353,108.2033510000829,16.016872499999998
2023,54.76976414247677,1,1.0,1.0,1,0,0,3,Bán Nhà riêng,Hà Nội,Hai Bà Trưng,6.0,109.54949494381135,105.8552245,21.012198
2023,120.0,2,6.0,7.0,0,0,3,7,Bán Nhà riêng,TP Hồ Chí Minh,Quận 7,9.7,80.83333333333333,106.72971280655217,10.737754800000001
2023,56.0,4,4.0,5.0,3,0,0,4,Bán Nhà riêng,TP Hồ Chí Minh,Nhà Bè,6.9,123.21428571428572,106.72638246812322,10.650967049999998
